post,url
2016-07-26-some-settle-in-some-pushed-out-ays-digest-26-7-229ad118cb2c.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/13723219_1797400450479301_556546793_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=776239&_nc_ohc=otdjR6IaiBYAX-xp9j8&_nc_ht=scontent.flis6-1.fna&oh=00_AfCcLCQ3LzFH7yAEYsDOPZyn6w8xm2yanOKulLjhbsb7Yw&oe=639AE7CA
2016-08-03-ays-daily-news-digest-02-08-how-the-eu-monopolization-of-the-legitimate-means-of-movement-is-786aa74a80cb.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/13670301_1396889216995111_494368237_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=776239&_nc_ohc=S06actfZDmoAX8vea8J&_nc_ht=scontent.flis6-1.fna&oh=00_AfBQYGQZ1YYsvg_cHmT1Xq61TOMLQTzq5WdPFLbDwWpw_w&oe=639AF359
2016-08-04-ays-3-8-yazidis-forced-to-leave-nea-kavala-camp-b33f7104726a.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/13723258_612319235602528_105219171_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=776239&_nc_ohc=Jk_wCaHIMcAAX9tg5qs&_nc_ht=scontent.flis6-1.fna&oh=00_AfDOV5Yuw4cMkXWllfJCfjtRh5zp7c5WJlm0dNBUuEARNw&oe=639B1798
2016-08-10-ays-daily-news-digest-9-8-illegality-asylum-process-assisted-return-and-other-ills-of-our-32fe03e20595.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/13991847_314721888870419_1039481606_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=776239&_nc_ohc=y372zJHIkAgAX9bBruT&_nc_ht=scontent.flis6-1.fna&oh=00_AfDhfZBuf_6GM8eGOSliJxf21dJKMQia8Nn4xtmtrt-Z2A&oe=639B4C60
2016-08-12-ays-digest-11-8-camps-continue-to-stagnate-890464bcc122.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/13936434_324274231246135_1201739084_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=776239&_nc_ohc=hrMM5odmDQ4AX8Ype5p&_nc_ht=scontent.flis6-1.fna&oh=00_AfCTpMQAZyNev0mtr6CYUTucbIamhxL3RQxaJNGZbmEgrQ&oe=639B2CD3
2016-08-12-ays-digest-11-8-camps-continue-to-stagnate-890464bcc122.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/13936351_929838333812161_819205963_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=776239&_nc_ohc=cPMSn4uXo4oAX-P7akV&_nc_ht=scontent.flis6-1.fna&oh=00_AfDHksd7SeZ_OY20Vfzzlc8TzZErUM2lnNTrtN9bDYZ8Gg&oe=639B6A94
2016-08-13-ays-daily-digest-12-8-abuse-of-refugees-rights-across-europe-matched-by-new-initiatives-gaining-5595f6e5c2a3.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/13936057_604793316369079_678898336_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=776239&_nc_ohc=fFkOBA48wyEAX9gCDdv&_nc_ht=scontent.flis6-1.fna&oh=00_AfAOdLcWBhml1-LIkxxD8dsyTkkK0EZ7ZFk7EeIfwZdXOA&oe=639B72B0
2016-08-16-are-you-syrious-digest-15-8-critically-ill-patients-stuck-in-syria-b493adecb55a.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/13991917_1795813950694731_2045635874_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=776239&_nc_ohc=kHd5spNqdOAAX9dLSv0&_nc_ht=scontent.flis6-1.fna&oh=00_AfDrltxQYRBE8N60yGzidJ_TCgMBsMgB9kpemHzhamDiBw&oe=639BCA82
2016-08-29-ays-digest-29-8-despite-seeds-of-support-sprouting-time-ticks-on-ac54e4885440.md,https://scontent.flis6-1.fna.fbcdn.net/v/t1.18169-9/14046007_1831163360445718_1871525429210542592_n.jpg?stp=dst-jpg_p206x206&_nc_cat=110&ccb=1-7&_nc_sid=0cb389&_nc_ohc=Hf8TTDsKV1YAX-FC2hC&_nc_ht=scontent.flis6-1.fna&oh=00_AfAznSpxYJ3ydVgC4Eh1jeI8_j80KD6cMIh7HWMu3lSEvw&oe=63BDA5B5
2016-09-02-are-you-syrious-digest-02-09-french-interior-minister-promises-to-dismantle-calais-camp-4aa37c2599ef.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14145996_1667770443542427_279706526_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=776239&_nc_ohc=JTjbfRsisloAX9FjSLz&_nc_ht=scontent.flis6-1.fna&oh=00_AfD0pvwyMA2yo8y4SFLEqvsJgpnX9308n4Dr2GDL4ffFLQ&oe=639B4CE2
